sci_data_set_name,sci_targname,sci_hapnum,sci_haspnum,sci_instrume,sci_aper_1234,sci_spec_1234,sci_actual_duration,sci_start_time,sci_pep_id,sci_pi_last_name,sci_ra,sci_dec,sci_refnum,sci_central_wavelength,sci_release_date,sci_stop_time,sci_preview_name,scp_scan_type,sci_hlsp,search_pos,ang_sep
IDWM03010,SDSSJ133245.62+263449.3,1,0,WFC3,UVIS2-C1K1C-SUB,F336W,894.0,2019-06-17T12:42:48.853000,15607,REINES,203.19009,26.58038055556,1,3354.6558,2019-12-17T15:40:11,2019-06-17T13:00:48.867000,IDWM03010,,,203.19009 26.58038,3.333360008516376E-5
IDWM03020,SDSSJ133245.62+263449.3,1,0,WFC3,UVIS2-C1K1C-SUB,F606W,705.0,2019-06-17T13:02:41.847000,15607,REINES,203.19009,26.58038055556,1,5887.7124,2019-12-17T15:45:48,2019-06-17T13:17:24.867000,IDWM03020,,,203.19009 26.58038,3.333360008516376E-5
IDWM03030,SDSSJ133245.62+263449.3,1,0,WFC3,IRSUB512,F140W,422.073488,2019-06-17T13:19:37.540000,15607,REINES,203.19009,26.58038055556,1,13922.907,2019-12-17T15:36:06,2019-06-17T13:29:38.083000,IDWM03030,,,203.19009 26.58038,3.333360008516376E-5
ICYV01A1Q,SDSS-J152304.97+114553.6,0,0,WFC3,UVIS2,F475W,50.0,2016-06-23T13:26:09.977000,14187,BALDASSARE,230.77072,11.76488888889,2,4772.1709,2017-06-23T19:18:08,2016-06-23T13:26:59.977000,ICYV01A1Q,,,230.77072 11.76489,6.66665997802724E-5
ICYV01AAQ,SDSS-J152304.97+114553.6,0,0,WFC3,UVIS2,F775W,50.0,2016-06-23T15:14:23.993000,14187,BALDASSARE,230.77072,11.76488888889,2,7648.3047,2017-06-23T19:18:22,2016-06-23T15:15:13.960000,ICYV01AAQ,,,230.77072 11.76489,6.66665997802724E-5
ICYV01AHQ,SDSS-J152304.97+114553.6,0,0,WFC3,IR,F160W,299.231262,2016-06-23T17:16:28.457000,14187,BALDASSARE,230.77072,11.76488888889,2,15369.176,2017-06-23T21:06:47,2016-06-23T17:21:27.720000,ICYV01AHQ,,,230.77072 11.76489,6.66665997802724E-5
IDWM02010,SDSSJ114359.58+244251.7,1,0,WFC3,UVIS2-C1K1C-SUB,F336W,897.0,2019-11-02T19:51:39.213000,15607,REINES,175.99831,24.71438888889,1,3354.6558,2020-05-03T03:51:50,2019-11-02T20:09:42.203000,IDWM02010,,,175.99831 24.71439,6.666660025634347E-5
IDWM02020,SDSSJ114359.58+244251.7,1,0,WFC3,UVIS2-C1K1C-SUB,F606W,690.0,2019-11-02T20:11:35.213000,15607,REINES,175.99831,24.71438888889,1,5887.7124,2020-05-03T03:48:33,2019-11-02T20:26:05.210000,IDWM02020,,,175.99831 24.71439,6.666660025634347E-5
IDWM02030,SDSSJ114359.58+244251.7,1,0,WFC3,IRSUB512,F140W,422.073488,2019-11-02T20:28:18.907000,15607,REINES,175.99831,24.71438888889,1,13922.907,2020-05-03T03:43:23,2019-11-02T21:26:11.420000,IDWM02030,,,175.99831 24.71439,6.666660025634347E-5
ICUU14010,SDSSJ093239.45+511542.9,1,0,WFC3,IRSUB512,F110W,972.183472,2017-06-08T23:58:17.727000,14251,REINES,143.1644320833,51.26191944444,2,11534.459,2018-06-09T04:21:07,2017-06-09T00:17:29.790000,ICUU14010,,,143.16443 51.26192,8.502543821335889E-5
ICUU15010,SDSSJ093821.54+063130.8,1,0,WFC3,IRSUB512,F110W,972.183472,2016-02-06T21:04:31.350000,14251,REINES,144.58978,6.525241666667,2,11534.459,2017-02-06T22:48:04,2016-02-06T21:23:43.413000,ICUU15010,,,144.58978 6.52524,1.0000002007483417E-4
ICUU17010,SDSSJ100423.33+231323.4,1,0,WFC3,IRSUB512,F110W,972.183472,2015-10-11T08:16:25.123000,14251,REINES,151.0972404167,23.22315833333,2,11534.459,2016-10-11T17:28:57,2015-10-11T08:35:37.157000,ICUU17010,,,151.09724 23.22316,1.0260578712896894E-4
ICUU24010,SDSSJ110912.37+612347.0,1,0,WFC3,IRSUB512,F110W,972.183472,2016-02-03T10:25:41.367000,14251,REINES,167.3016575,61.39640833333,2,11534.459,2017-02-03T12:55:54,2016-02-03T10:44:53.430000,ICUU24010,,,167.30166 61.39641,1.231138008131948E-4
ICUU35010,SDSSJ115922.33+511809.2,1,0,WFC3,IRSUB512,F110W,972.183472,2016-08-01T07:05:49.773000,14251,REINES,179.8430608333,51.30257777778,2,11534.459,2017-08-01T12:15:08,2016-08-01T07:25:01.803000,ICUU35010,,,179.84306 51.30258,1.3694843950809172E-4
ICUU25010,SDSSJ111319.23+044425.1,1,0,WFC3,IRSUB512,F110W,972.183472,2016-03-29T07:05:09.493000,14251,REINES,168.3301616667,4.740341666667,2,11534.459,2017-03-29T11:17:21,2016-03-29T07:24:21.557000,ICUU25010,,,168.33016 4.74034,1.411811155854258E-4
ICUU09010,SDSSJ084204.92+403934.5,1,0,WFC3,IRSUB512,F110W,972.183472,2016-05-29T10:25:44.627000,14251,REINES,130.52053875,40.65957777778,2,11534.459,2017-05-30T00:57:32,2016-05-29T10:44:56.657000,ICUU09010,,,130.52054 40.65958,1.449645951491163E-4
ICUU53010,SDSSJ152303.80+114546.0,1,0,WFC3,IRSUB512,F110W,972.183472,2016-09-08T05:18:35.867000,14251,REINES,230.7712616667,11.76482222222,2,11534.459,2017-09-09T10:23:36,2016-09-08T05:37:47.900000,ICUU53010,,,230.77126 11.76482,1.6541582162558525E-4
ICUU39010,SDSSJ122505.40+051945.9,1,0,WFC3,IRSUB512,F110W,972.183472,2016-06-05T00:04:08.627000,14251,REINES,186.2733729167,5.329119444444,2,11534.459,2017-06-05T05:52:12,2016-06-05T00:23:20.657000,ICUU39010,,,186.27337 5.32912,1.7740527950940558E-4
ICUU07010,SDSSJ082334.84+031315.6,1,0,WFC3,IRSUB512,F110W,972.183472,2016-01-27T19:24:04.373000,14251,REINES,125.8951975,3.221041666667,2,11534.459,2017-01-28T12:27:08,2016-01-27T19:43:16.407000,ICUU07010,,,125.8952 3.22104,1.8008045296647354E-4
ICUU13010,SDSSJ092129.98+213139.3,1,0,WFC3,IRSUB512,F110W,972.183472,2017-04-23T23:14:13.657000,14251,REINES,140.37495625,21.52760833333,2,11534.459,2018-04-24T03:18:52,2017-04-23T23:33:25.720000,ICUU13010,,,140.37496 21.52761,2.3196612820490967E-4
ICUU60010,SDSSJ173202.96+595855.0,1,0,WFC3,IRSUB512,F110W,972.183472,2016-06-06T14:43:15.603000,14251,REINES,263.0124016667,59.98193611111,2,11534.459,2017-06-07T01:37:49,2016-06-06T15:02:27.667000,ICUU60010,,,263.0124 59.98194,2.3863634768044715E-4
ICUU08010,SDSSJ084025.54+181858.9,1,0,WFC3,IRSUB512,F110W,972.183472,2016-04-12T00:01:26.487000,14251,REINES,130.1064354167,18.3164,2,11534.459,2017-04-12T12:11:25,2016-04-12T00:20:38.547000,ICUU08010,,,130.10644 18.3164,2.6106538007751975E-4
ICUU20010,SDSSJ102149.12+635206.8,1,0,WFC3,IRSUB512,F110W,972.183472,2016-04-26T14:59:48.557000,14251,REINES,155.4548116667,63.86854444444,2,11534.459,2017-04-26T21:13:07,2016-04-26T15:19:00.590000,ICUU20010,,,155.45481 63.86854,2.702792101329092E-4
ICUU21010,SDSSJ102833.33+184513.9,1,0,WFC3,IRSUB512,F110W,972.183472,2016-06-30T20:03:39.657000,14251,REINES,157.1388925,18.75389444444,2,11534.459,2017-07-01T00:15:49,2016-06-30T20:32:52.713000,ICUU21010,,,157.13889 18.75389,3.021345121732275E-4
ICUU12010,SDSSJ091720.88+191018.9,1,0,WFC3,IRSUB512,F110W,972.183472,2017-02-05T08:20:02.440000,14251,REINES,139.3370241667,19.17193333333,2,11534.459,2018-02-06T00:25:32,2017-02-05T08:39:14.503000,ICUU12010,,,139.33702 19.17193,3.09451512490067E-4
ICUU16010,SDSSJ094705.72+050159.8,1,0,WFC3,IRSUB512,F110W,972.183472,2017-01-29T04:39:05.447000,14251,REINES,146.773825,5.033308333333,2,11534.459,2018-01-29T08:24:25,2017-01-29T05:21:21.480000,ICUU16010,,,146.77383 5.03331,3.1513050947912854E-4
ICUU11010,SDSSJ090737.05+352828.4,1,0,WFC3,IRSUB512,F110W,972.183472,2016-04-26T08:02:15.567000,14251,REINES,136.9044058333,35.47455555556,2,11534.459,2017-04-26T13:32:00,2016-04-26T08:21:27.597000,ICUU11010,,,136.90441 35.47456,3.355024210022488E-4
ICUU27010,SDSSJ112957.62+653804.8,1,0,WFC3,IRSUB512,F110W,972.183472,2016-04-24T13:38:21.550000,14251,REINES,172.4901545833,65.63471388889,2,11534.459,2017-04-24T20:44:45,2016-04-24T13:57:33.613000,ICUU27010,,,172.49015 65.63472,3.838170831135056E-4
IEH309010,WISEA-J125747.86+274610.0,1,0,WFC3,IRSUB512,F110W,238.703536,2021-04-27T17:45:37.243000,16423,BALDASSARE,194.44943,27.76946111111,1,11534.459,2021-10-28T04:00:34,2021-04-27T17:52:33.913000,IEH309010,,,194.44943 27.76947,5.333333999372594E-4
IEH309020,WISEA-J125747.86+274610.0,1,0,WFC3,UVIS2-2K2C-SUB,F300X,786.0,2021-04-27T17:54:21.580000,16423,BALDASSARE,194.44943,27.76946111111,1,2805.8406,2021-10-28T04:17:34,2021-04-27T18:13:35.547000,IEH309020,,,194.44943 27.76947,5.333333999372594E-4
IEH309030,WISEA-J125747.86+274610.0,1,0,WFC3,UVIS2-2K2C-SUB,F606W,480.0,2021-04-27T18:17:04.557000,16423,BALDASSARE,194.44943,27.76946111111,1,5887.7124,2021-10-28T04:19:30,2021-04-27T18:31:16.570000,IEH309030,,,194.44943 27.76947,5.333333999372594E-4
ICRV04010,SDSSJ144012.70+024743.5,1,0,WFC3,UVIS2-C1K1C-SUB,F275W,747.0,2015-06-15T15:10:35.123000,13943,REINES,220.0529166667,2.795416666667,5,2703.2976,2016-06-15T17:20:47,2015-06-15T15:26:08.127000,ICRV04010,,,220.05293 2.79542,8.236956700388224E-4
ICRV04020,SDSSJ144012.70+024743.5,1,0,WFC3,UVIS2-2K2C-SUB,F606W,645.0,2015-06-15T15:28:01.137000,13943,REINES,220.0529166667,2.795416666667,5,5887.7124,2016-06-15T17:22:52,2015-06-15T15:44:40.127000,ICRV04020,,,220.05293 2.79542,8.236956700388224E-4
ICRV04030,SDSSJ144012.70+024743.5,1,0,WFC3,IRSUB512,F110W,422.073488,2015-06-15T15:48:20.833000,13943,REINES,220.0529166667,2.795416666667,5,11534.459,2016-06-15T17:24:08,2015-06-15T15:58:21.343000,ICRV04030,,,220.05293 2.79542,8.236956700388224E-4
ICYV01010,SDSS-J152304.97+114553.6,1,0,WFC3,UVIS2,F475W,2312.0,2016-06-23T11:52:37.977000,14187,BALDASSARE,230.7707042929,11.76491070747,2,4772.63625,2017-06-24T01:05:41,2016-06-23T12:37:33.960000,ICYV01010,,,230.77072 11.76489,0.001547552872803948
ICYV01020,SDSS-J152304.97+114553.6,1,0,WFC3,UVIS2,F775W,2424.0,2016-06-23T13:40:44.987000,14187,BALDASSARE,230.7707042929,11.76491070747,2,7649.834,2017-06-24T01:06:40,2016-06-23T15:12:13.960000,ICYV01020,,,230.77072 11.76489,0.001547552872803948
