_ra_,_dec_,_searchID_,MatchID,distanceArcMin,MatchRA,MatchDec,DSigma,AbsCorr,NumFilters,NumVisits,NumImages,StartTime,StopTime,StartMJD,StopMJD,TargetName,CI,CI_Sigma,KronRadius,KronRadius_Sigma,Extinction,W2_F170W,W2_F170W_MAD,W2_F170W_N,W2_F255W,W2_F255W_MAD,W2_F255W_N,W2_F300W,W2_F300W_MAD,W2_F300W_N,W2_F336W,W2_F336W_MAD,W2_F336W_N,W3_F336W,W3_F336W_MAD,W3_F336W_N,W2_F439W,W2_F439W_MAD,W2_F439W_N,A_F475W,A_F475W_MAD,A_F475W_N,W3_F475W,W3_F475W_MAD,W3_F475W_N,W2_F555W,W2_F555W_MAD,W2_F555W_N,A_F606W,A_F606W_MAD,A_F606W_N,W3_F606W,W3_F606W_MAD,W3_F606W_N,W2_F702W,W2_F702W_MAD,W2_F702W_N,W3_F775W,W3_F775W_MAD,W3_F775W_N,A_F814W,A_F814W_MAD,A_F814W_N,W2_F814W,W2_F814W_MAD,W2_F814W_N,W3_F814W,W3_F814W_MAD,W3_F814W_N,A_F850LP,A_F850LP_MAD,A_F850LP_N,W3_F105W,W3_F105W_MAD,W3_F105W_N,W3_F110W,W3_F110W_MAD,W3_F110W_N,W3_F140W,W3_F140W_MAD,W3_F140W_N,W3_F160W,W3_F160W_MAD,W3_F160W_N
36.68221,-4.68346,21,29017801,0.0022549821969610933,36.68224688151983,-4.683467829860497,5.555296031345056,Y,2,5,9,2012-10-15 23:59:32.407000,2013-02-12 11:18:20.587000,56215.99968057405,56335.471071573906,JKCS041-4,2.1797503542628958,0.13647266127167937,0.45499998331069946,0.0,0.025541599839925766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.78415012359619,0.0009002685546875,4,,,,,,,18.47559928894043,0.00469970703125,5
53.1301,-27.6189,109,82291906,0.002063337748625047,53.13008895936699,-27.618932968200983,15.057798758081814,Y,2,2,4,2002-09-14 18:27:37.860000,2002-11-24 00:31:54.983000,52531.76918816194,52602.022164127324,GEMS-59,1.5790756882226635,0.01386043669699818,0.17499999701976776,0.0,0.00857056025415659,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18929958343506,0.013199806213378906,2,,,,,,,,,,,,,,,,,,,20.89115047454834,0.006649971008300781,2,,,,,,,,,,,,
53.1301,-27.6189,109,83888048,0.014806966550590522,53.1298292,-27.6188423,0.0,N,1,1,1,2002-09-19 21:56:15.173000,2002-09-19 22:39:35.173000,52536.914064460434,52536.94415708585,GOODS,1.267282599988191,0.0,0.38199999928474426,0.0,0.00857056025415659,,,,,,,22.49279022216797,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.1301,-27.6189,109,4587995,0.02610863570177931,53.1305825,-27.6188189,0.0,N,1,1,1,2002-11-01 13:33:15.220000,2002-11-01 14:14:35.220000,52579.56475946307,52579.59346317127,GOODS,1.4784783124923706,0.0,0.3499999940395355,0.0,0.00857056025415659,,,,,,,22.49669075012207,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.09184,47.459831,121,7171483,0.0008046334509433548,146.09182517852577,47.4598220879537,0.0,Y,1,1,1,2008-11-06 21:20:13.187000,2008-11-06 21:48:13.310000,54776.889041486196,54776.90848737955,SDSSJ094422.04+472735.3,2.219971997777843,0.0,0.45499999999999996,0.0,0.011780389584600925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.322200775146484,0.0,1,,,,,,,,,,,,,,,,,,
230.77072,11.764892,148,57359705,0.0022043405630722585,230.77075748613817,11.76489027837296,166.37602942692402,Y,4,2,4,2016-06-23 11:52:37.977000,2016-09-08 05:37:47.900000,57562.49488392146,57639.23458212521,SDSSJ152303.80+114546.0,3.042233719235994,1.2379655649143213,0.41077497601509094,0.19448135155614799,0.03739501163363457,,,,,,,,,,,,,,,,,,,,,,22.559499740600586,0.0,1,,,,,,,,,,,,,22.69059944152832,0.0,1,,,,,,,,,,,,,,,,21.525699615478516,0.0,1,,,,21.29199981689453,0.0,1
230.77072,11.764892,148,16344515,0.009430494404165306,230.77059886969337,11.76499515714776,0.0,Y,2,1,2,2016-06-23 11:52:37.977000,2016-06-23 15:15:13.960000,57562.49488392146,57562.63557823608,SDSS-J152304.97+114553.6,2.6199800106316102,0.13684164964460763,0.3303999900817871,0.0,0.03739501163363457,,,,,,,,,,,,,,,,,,,,,,24.792400360107422,0.0,1,,,,,,,,,,,,,24.861099243164062,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
230.77072,11.764892,148,65983306,0.01622643811078463,230.77095477457974,11.765034515137426,0.0,Y,2,1,2,2016-06-23 11:52:37.977000,2016-06-23 15:15:13.960000,57562.49488392146,57562.63557823608,SDSS-J152304.97+114553.6,1.469969640140861,0.18055384397541493,0.298799991607666,0.0,0.03739501163363457,,,,,,,,,,,,,,,,,,,,,,25.278200149536133,0.0,1,,,,,,,,,,,,,24.591999053955078,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
230.77072,11.764892,148,106137563,0.0219683728217979,230.7703627436226,11.764783685016935,0.0,Y,1,1,1,2016-06-23 11:52:37.977000,2016-06-23 13:26:59.973000,57562.49488392146,57562.56041630311,SDSS-J152304.97+114553.6,1.985862063265395,0.0,0.3619999885559082,0.0,0.03739501163363457,,,,,,,,,,,,,,,,,,,,,,25.952299118041992,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230.77072,11.764892,148,41362558,0.04555887102192864,230.76994884690853,11.764810733873567,0.0,Y,1,1,1,2016-06-23 11:52:37.977000,2016-06-23 13:26:59.973000,57562.49488392146,57562.56041630311,SDSS-J152304.97+114553.6,2.063218341476616,0.0,0.3416000008583069,0.0,0.03739501163363457,,,,,,,,,,,,,,,,,,,,,,25.71269989013672,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.12463038009,47.11951149567,158,89504951,0.001092732442258027,130.12461168231567,47.11952452648621,1.070042154518257,Y,2,1,2,2015-05-22 03:56:19.120000,2015-05-22 04:28:11.263000,57164.16411013901,57164.186241419055,SDSSJ084029.91+470710.4,1.4403490422220973,0.049486017450917553,0.29749999195337296,0.2227386238511764,0.027205439284443855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.53350067138672,0.0,1,,,,,,,,,,,,,,,,,,,,,,19.09320068359375,0.0,1,,,,,,
130.12463038009,47.11951149567,158,43222082,0.03590182385030818,130.12427509887743,47.11896414634154,183.5428048744067,Y,2,1,2,2015-05-22 03:56:19.120000,2015-05-22 04:28:11.263000,57164.16411013901,57164.186241419055,SDSSJ084029.91+470710.4,2.910056758623618,1.8719847214742862,0.3755500018596649,0.21715249108625465,0.027205439284443855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.006900787353516,0.0,1,,,,,,,,,,,,,,,,,,,,,,21.513900756835938,0.0,1,,,,,,
130.12463038009,47.11951149567,158,51268347,0.037281300956177266,130.1241457542626,47.118984874280315,0.0,Y,1,1,1,2015-05-22 03:56:19.120000,2015-05-22 04:12:58.110000,57164.16411013901,57164.175672564656,SDSSJ084029.91+470710.4,2.0469318736683237,0.0,0.26759999990463257,0.0,0.027205439284443855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.210599899291992,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.12463038009,47.11951149567,158,100951545,0.04036858869416807,130.12438356670404,47.11885998536169,0.0,Y,1,1,1,2015-05-22 03:56:19.120000,2015-05-22 04:12:58.110000,57164.16411013901,57164.175672564656,SDSSJ084029.91+470710.4,2.687613530592485,0.0,0.2855999767780304,0.0,0.027205439284443855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.328699111938477,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.542314,58.063647,161,77624052,0.0071381292044852265,158.5422934950065,58.06352852667152,26.35454936130829,Y,2,1,2,2016-04-16 04:03:57.797000,2016-04-16 05:46:30.930000,57494.16941892123,57494.24063572241,MRK-1434,1.624407483772798,0.6604676495226129,0.29749999195337296,0.2227386238511764,0.0058982400223612785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23200035095215,0.0,1,,,,,,,,,,,,,,,,,,,,,,19.072099685668945,0.0,1,,,,,,
158.542314,58.063647,161,34370086,0.007188789559589478,158.54244835485048,58.063743458152445,111.4430572963649,Y,2,1,2,2016-04-16 04:03:57.797000,2016-04-16 05:46:30.930000,57494.16941892123,57494.24063572241,MRK-1434,3.068465855601546,0.44234350444342635,0.29749999195337296,0.2227386238511764,0.0058982400223612785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32819938659668,0.0,1,,,,,,,,,,,,,,,,,,,,,,19.370899200439453,0.0,1,,,,,,
158.542314,58.063647,161,3426320,0.00814054638746053,158.54227323831148,58.06378095147518,0.0,Y,1,1,1,2016-04-16 04:03:57.797000,2016-04-16 04:41:13.780000,57494.16941892123,57494.195298361126,MRK-1434,1.5451135960492222,0.0,0.14000000059604645,0.0,0.0058982400223612785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.942399978637695,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.542314,58.063647,161,37478438,0.020402938324017673,158.54257806056313,58.06395703617559,33.77898939704245,Y,2,1,2,2016-04-16 04:03:57.797000,2016-04-16 05:46:30.930000,57494.16941892123,57494.24063572241,MRK-1434,2.593003261786002,0.13910273144123514,0.29749999195337296,0.2227386238511764,0.0058982400223612785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.527599334716797,0.0,1,,,,,,,,,,,,,,,,,,,,,,20.152299880981445,0.0,1,,,,,,
158.542314,58.063647,161,9625024,0.02786527346918017,158.54164026797108,58.06394478389719,0.0,Y,1,1,1,2016-04-16 04:03:57.797000,2016-04-16 04:41:13.780000,57494.16941892123,57494.195298361126,MRK-1434,2.0885227756066755,0.0,0.1995999813079834,0.0,0.0058982400223612785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.952999114990234,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.542314,58.063647,161,14712722,0.03209487522795758,158.54329419025163,58.06351549917992,0.0,Y,1,1,1,2016-04-16 04:03:57.797000,2016-04-16 04:41:13.780000,57494.16941892123,57494.195298361126,MRK-1434,0.8830682120539926,0.0,0.14000000059604645,0.0,0.0058982400223612785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.711700439453125,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.542314,58.063647,161,84482012,0.048082523350515764,158.54260487000747,58.062860534480535,0.0,Y,1,1,1,2016-04-16 04:03:57.797000,2016-04-16 04:41:13.780000,57494.16941892123,57494.195298361126,MRK-1434,2.220454541119662,0.0,0.34279999136924744,0.0,0.0058982400223612785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.496400833129883,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.175389630348,29.3458912842654,167,95004647,0.0020207121334930296,185.17535549999994,29.345875500000002,0.0,Y,2,1,2,1997-11-10 23:33:13.823000,1997-11-10 23:53:03.827000,50762.98140998371,50762.9951831433,NGC4286,1.7941541792780615,0.1340665282180621,0.3499999940395355,0.0,0.022319370880723,,,,,,,,,,,,,,,,,,,,,,,,,19.34969139099121,0.0,1,,,,,,,,,,,,,,,,18.717491149902344,0.0,1,,,,,,,,,,,,,,,,,,
